Product.Code,Labeler.Code,Substance.Name,Strength,DEA.Schedule,Total.Reimbursed,Medicaid.Reimbursed,Private.Reimbursed
0042,45802,CLINDAMYCIN PHOSPHATE,100,Not Control,15228771.28,13585806.65,1642964.6300000001
0043,57237,VALACYCLOVIR HYDROCHLORIDE,1,Not Control,4147049.74,3777467.77,369581.97000000003
0044,23155,LEFLUNOMIDE,20,Not Control,28386500.779999997,26147115.32,2239385.46
0045,13107,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,7.5; 325,CII,10054495.4,9749099.459999999,305395.94
0046,00054,IPRATROPIUM BROMIDE,42,Not Control,4329207.78,4200655.16,128552.62
0047,65162,OXYCODONE HYDROCHLORIDE,5,CII,7267543.84,4878134.44,2389409.4
0048,45802,NYSTATIN,100000,Not Control,2876188.2,2810857.83,65330.37
0049,00338,SODIUM CHLORIDE,9,Not Control,48732985.11,32629447.66,16103537.45
0050,43386,POLYETHYLENE GLYCOL 3350; SODIUM CHLORIDE; SODIUM BICARBONATE; POTASSIUM CHLORIDE,420; 11.2; 5.72; 1.48,Not Control,52801348.24,49713672.92,3087675.32
0051,62107,ACETAMINOPHEN,500,Not Control,48712245.14,38112965.12,10599280.02
0052,65162,CITALOPRAM HYDROBROMIDE,10,Not Control,10577077.86,10389280.39,187797.47
0053,65162,CITALOPRAM HYDROBROMIDE,20,Not Control,44850805.04,34525635.05,10325169.99
0054,62332,CLONIDINE HYDROCHLORIDE,0.1,Not Control,5215623.67,5032026.5,183597.17
0055,62332,CLONIDINE HYDROCHLORIDE,0.2,Not Control,7198836.09,7048384.36,150451.73
0056,49884,IMIPRAMINE HYDROCHLORIDE,50,Not Control,15321094.04,14882493.68,438600.36
0057,42806,AMLODIPINE BESYLATE,10,Not Control,17228597.36,13779805.86,3448791.5
0058,00093,TRAMADOL HYDROCHLORIDE,50,CIV,2780285.64,2679339.4899999998,100946.15
0059,68084,ZAFIRLUKAST,20,Not Control,2301472.07,2269629.53,31842.54
0060,60758,LEVOBUNOLOL HYDROCHLORIDE,5,Not Control,84754567.79,69475396.77,15279171.02
0061,00904,GUAIFENESIN,100,Not Control,97279755.64,85018319.44,12261436.2
0062,51862,DIAZEPAM,2,CIV,6131684.99,6021036.16,110648.83
0063,51862,DIAZEPAM,5,CIV,34857652.47,34262354.94,595297.53
0064,51862,DIAZEPAM,10,CIV,19342302.2,17374814.99,1967487.21
0065,49884,GLYCOPYRROLATE,1,Not Control,11833927.39,11537588.83,296338.56
0066,16729,LEVETIRACETAM,750,Not Control,1615879.4,1582468.2,33411.2
0067,68382,SIMVASTATIN,20,Not Control,644873.77,632541.98,12331.789999999999
0068,68382,SIMVASTATIN,40,Not Control,2741524.85,2686715.95,54808.9
0069,68382,SIMVASTATIN,80,Not Control,132619.15,130044.7,2574.45
0070,00378,CLORAZEPATE DIPOTASSIUM,15,CIV,24137871.22,23608846.62,529024.6
0071,16714,BACLOFEN,10,Not Control,8003250.07,7917768.09,85481.98
0072,61570,"ESTROGENS, ESTERIFIED",0.3,Not Control,46998969.16,46326502.12,672467.04
0073,13107,DEXTROAMPHETAMINE SACCHARATE; AMPHETAMINE ASPARTATE MONOHYDRATE; DEXTROAMPHETAMINE SULFATE; AMPHETAMINE SULFATE,5; 5; 5; 5,CII,31503489.8,30637428.47,866061.33
0074,00185,LOVASTATIN,40,Not Control,38358342.17,36930474.839999996,1427867.33
0075,55513,CINACALCET HYDROCHLORIDE,90,Not Control,181224368.82,178528658.32,2695710.5
0076,10702,METHYLPHENIDATE HYDROCHLORIDE,20,CII,16598309.94,15797282.89,801027.05
0077,57237,ONDANSETRON,4,Not Control,7151886.76,7004836.37,147050.38999999998
0078,57237,ONDANSETRON,8,Not Control,2269203.73,2235601.44,33602.29
0079,50383,ACETAMINOPHEN; CODEINE PHOSPHATE,120; 12,CV,4207599.2,4152355.26,55243.94
0080,60505,SOTALOL HYDROCHLORIDE,80,Not Control,33366896.2,25680404.46,7686491.74
0081,00132,GLYCERIN,1,Not Control,43159725.06,41521740.41,1637984.6500000001
0082,00472,ACYCLOVIR,200,Not Control,9614806.32,8026702.49,1588103.83
0083,16714,HYDROXYZINE HYDROCHLORIDE,50,Not Control,1434299.46,1408315.78,25983.68
0084,00245,PROPRANOLOL HYDROCHLORIDE,60,Not Control,1748355.48,1710545.58,37809.9
0085,27808,DEXTROAMPHETAMINE SULFATE,5,CII,2783733.82,2417021.67,366712.15
0086,27808,HYDROCODONE BITARTRATE; CHLORPHENIRAMINE MALEATE,10; 8,CII,2687421.23,2604882.77,82538.46
0087,33342,RIZATRIPTAN BENZOATE,5,Not Control,38686582.11,37733739.73,952842.38
0088,50242,ADO-TRASTUZUMAB EMTANSINE,20,Not Control,8426871.41,7260916.33,1165955.08
0089,13107,METHADONE HYDROCHLORIDE,10,CII,3057268.52,2937143.08,120125.44
0090,16729,FINASTERIDE,5,Not Control,5096030.43,4877564.59,218465.84
0091,62011,DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,20; 200,Not Control,678405.51,661546.36,16859.15
0092,16729,GEMCITABINE HYDROCHLORIDE,200,Not Control,1441256.4,1106517.55,334738.85
0093,68382,CARVEDILOL,6.25,Not Control,8844567.65,8661171.62,183396.03
0094,16729,MYCOPHENOLATE MOFETIL,250,Not Control,4122402.64,3709695.64,412707
0095,00555,CLONAZEPAM,0.25,CIV,9889402.23,9744867.94,144534.29
0096,13668,PANTOPRAZOLE SODIUM,20,Not Control,6926770.69,6789200.53,137570.16
0097,00555,CLONAZEPAM,1,CIV,26301158.08,25800111.08,501047
0098,68382,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,20,Not Control,20136895.54,16549317.319999998,3587578.22
0099,57237,CEFDINIR,300,Not Control,6378039.36,6271634.73,106404.63
0100,50242,DORNASE ALFA,1,Not Control,247333848.98,234871886.57,12461962.41
0101,60505,PAROXETINE HYDROCHLORIDE ANHYDROUS,40,Not Control,279577815.69,266039019.60999998,13538796.08
0102,10370,BUPROPION HYDROCHLORIDE,300,Not Control,171389049.19,162522236.15,8866813.040000001
0103,61442,DICLOFENAC SODIUM,75,Not Control,136901790.2,131402259.81,5499530.39
0104,59417,LISDEXAMFETAMINE DIMESYLATE,40,CII,130864150.93,126409164.09,4454986.84
0105,18860,CLOZAPINE,150,Not Control,97898167.33,93038841.17999999,4859326.15
0106,00574,BROMOCRIPTINE MESYLATE,2.5,Not Control,73302535.7,70162425.25,3140110.45
0107,65862,ZIDOVUDINE,100,Not Control,63720145.33,61194306.96,2525838.37
0108,57664,PROMETHAZINE HYDROCHLORIDE,25,Not Control,8071507.25,7500430.53,571076.72
0109,00713,BISACODYL,10,Not Control,9055572.45,8094558.99,961013.46
0110,69452,ALPRAZOLAM,0.25,CIV,35873871.47,28077511.95,7796359.5200000005
0111,23155,PROPRANOLOL HYDROCHLORIDE,20,Not Control,52695142.97,48786935.46,3908207.5100000002
0112,45802,MUPIROCIN,20,Not Control,38534501.019999996,38054320.44,480180.58
0113,29300,LAMOTRIGINE,150,Not Control,6157290.16,5967282.45,190007.71
0114,29300,LAMOTRIGINE,200,Not Control,5471122.2299999995,5363719.32,107402.91
0115,13668,LOSARTAN POTASSIUM,100,Not Control,15443333.34,15083193.45,360139.89
0116,61442,GLIMEPIRIDE,2,Not Control,5898734.66,5739552.63,159182.03
0117,69315,FUROSEMIDE,40,Not Control,20558699.53,15144461.47,5414238.06
0118,13668,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,25; 100,Not Control,6008308.43,5804139.8,204168.63
0119,62175,ISOSORBIDE MONONITRATE,60,Not Control,7710969.65,7524710.09,186259.56
0120,69387,BENZONATATE,200,Not Control,12892964.51,12549769,343195.51
0121,55150,PIPERACILLIN SODIUM; TAZOBACTAM SODIUM,4; .5,Not Control,10408902.68,9702078.54,706824.14
0122,68382,AMLODIPINE BESYLATE,5,Not Control,14070044.61,13362437.06,707607.55
0123,68180,CEPHALEXIN,125,Not Control,28908728.4,25226225.73,3682502.67
0124,00406,HYDROCODONE BITARTRATE; ACETAMINOPHEN,7.5; 325,CII,19417355.93,16192190.25,3225165.68
0125,00406,HYDROCODONE BITARTRATE; ACETAMINOPHEN,10; 325,CII,43951434.27,42388731.7,1562702.57
0126,57237,WARFARIN SODIUM,7.5,Not Control,14311564.24,11790505.709999999,2521058.53
0127,68462,GABAPENTIN,800,Not Control,34375907.04,21941970.56,12433936.48
0128,51285,NA,NA,Not Control,3568712.96,3423531.16,145181.8
0129,68001,FLUOXETINE HYDROCHLORIDE,40,Not Control,8174324.04,8035179.78,139144.26
0130,68462,ZONISAMIDE,100,Not Control,73832865.07,70606297.46,3226567.61
0131,69543,ALENDRONATE SODIUM,70,Not Control,4457525.45,4346965.76,110559.69
0132,24338,ERYTHROMYCIN ETHYLSUCCINATE,200,Not Control,19685324.6,18189610.69,1495713.91
0133,00168,CLOTRIMAZOLE,10,Not Control,1405693.19,1371008.77,34684.42
0134,69543,METHOCARBAMOL,500,Not Control,124167160.49,98487528.92,25679631.57
0135,69315,IMIPRAMINE HYDROCHLORIDE,50,Not Control,26939020.84,25445174.59,1493846.25
0136,NA,NA,NA,NA,34190432.44,32532217.61,1658214.83
0137,68462,OXCARBAZEPINE,150,Not Control,12670149.12,11269018.55,1401130.57
0138,62756,GABAPENTIN,300,Not Control,15542631.05,15377006.94,165624.11
0139,64125,GLYCOPYRROLATE,1,Not Control,5590300.25,5436128.26,154171.99
0140,50458,CANAGLIFLOZIN,100,Not Control,154338046.17,152544052.51,1793993.66
0141,00185,OXAPROZIN,600,Not Control,48055269.22,47399272.8,655996.4199999999
0142,NA,NA,NA,NA,8652089.63,8422998.92,229090.71
0143,51660,VALSARTAN,320,Not Control,4329812.79,4156569.84,173242.95
0144,54838,ACETAMINOPHEN,160,Not Control,13906100.46,9326573.61,4579526.85
0145,55111,FLUCONAZOLE,150,Not Control,52903067.39,44188990.32,8714077.07
0146,67877,TEMAZEPAM,15,CIV,11538832.959999999,11313597.35,225235.61000000002
0147,60505,LORATADINE,10,Not Control,5797550.07,5695280.11,102269.96
0148,67253,AMOXICILLIN,250,Not Control,15930338.55,15433372.03,496966.52
0149,57237,FLUCONAZOLE,10,Not Control,5778997.07,5341863.06,437134.01
0150,00603,DOCUSATE SODIUM,100,Not Control,49523537.43,48722446.94,801090.49
0151,60258,SODIUM FLUORIDE,11,Not Control,24943706.69,24171227.37,772479.32
0152,69097,LAMOTRIGINE,200,Not Control,19082254.02,18729999.15,352254.87
0153,62175,METHYLPHENIDATE HYDROCHLORIDE,30,CII,16895182.12,16545014.5,350167.62
0154,55111,ONDANSETRON HYDROCHLORIDE,8,Not Control,16847409.47,16224382.49,623026.98
0155,00472,NYSTATIN; TRIAMCINOLONE ACETONIDE,100000; 1,Not Control,8423805.25,8170279.66,253525.59
0156,13107,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,30,Not Control,3421628.62,3302468.03,119160.59
0157,59762,ATORVASTATIN CALCIUM TRIHYDRATE,40,Not Control,14053618.06,12379586.56,1674031.5
0158,69097,MELOXICAM,7.5,Not Control,7848676.8,7447318.59,401358.21
0159,60505,SOTALOL HYDROCHLORIDE,120,Not Control,5275085.74,4994018.63,281067.11
0160,43386,MISOPROSTOL,100,Not Control,27092107.48,26504288.849999998,587818.63
0161,42806,HYDROXYZINE HYDROCHLORIDE,50,Not Control,2380181.34,2177926.25,202255.09
0162,63323,KETOROLAC TROMETHAMINE,30,Not Control,11892814.04,9952703.9,1940110.14
0162,63323,KETOROLAC TROMETHAMINE,30,Not Control,11892814.04,9952703.9,1940110.14
0162,63323,KETOROLAC TROMETHAMINE,30,Not Control,11892814.04,9952703.9,1940110.14
0163,00168,CLOBETASOL PROPIONATE,0.5,Not Control,5273458.24,5009683.01,263775.23
0164,43598,OLANZAPINE,5,Not Control,2673048.89,2635765.19,37283.7
0165,63323,DEXAMETHASONE SODIUM PHOSPHATE,4,Not Control,32567111.1,19565565.54,13001545.56
0165,63323,DEXAMETHASONE SODIUM PHOSPHATE,4,Not Control,32567111.1,19565565.54,13001545.56
0166,00472,NYSTATIN,100000,Not Control,5826472.3,5558952.31,267519.99
0167,00378,DOXYCYCLINE HYCLATE,100,Not Control,2722462.78,1783533.53,938929.25
0168,60505,PRAVASTATIN SODIUM,10,Not Control,3186648.55,2916922.31,269726.24
0169,29300,TIZANIDINE HYDROCHLORIDE,4,Not Control,6922428.68,5788650.6,1133778.08
0170,67877,ONDANSETRON HYDROCHLORIDE,8,Not Control,26333821.09,25585822.99,747998.1
0171,59746,PREDNISONE,1,Not Control,14917648.540000001,14529699.29,387949.25
0172,13925,"ESTROGENS, CONJUGATED; METHYLTESTOSTERONE",1.25; 2.5,CIII,7025294.62,5555290.67,1470003.95
0173,54092,CARBAMAZEPINE,300,Not Control,6165028.29,5940673.43,224354.86
0174,16729,AMITRIPTYLINE HYDROCHLORIDE,75,Not Control,2215554.53,2159829.84,55724.69
0175,65862,PENICILLIN V POTASSIUM,250,Not Control,23243793.39,22710161.31,533632.08
0176,65862,PENICILLIN V POTASSIUM,500,Not Control,4272015.91,4216913.47,55102.44
0177,00054,BUPRENORPHINE HYDROCHLORIDE,8,CIII,9104380.41,8900718.78,203661.63
0178,53746,METFORMIN HYDROCHLORIDE,500,Not Control,2203549.2800000003,2131467.21,72082.07
0179,68462,NAPROXEN SODIUM,550,Not Control,8078950.2,7955020.14,123930.06
0180,13668,ROSUVASTATIN CALCIUM,10,Not Control,11141546.3,10641587.01,499959.29
0181,68462,CLOTRIMAZOLE,10,Not Control,6902853.34,6730099.37,172753.97
0182,16729,HYDROCHLOROTHIAZIDE,12.5,Not Control,8853136.44,8476259.89,376876.55
0183,00378,PROPRANOLOL HYDROCHLORIDE,20,Not Control,42781717.35,42159523.14,622194.21
0184,00378,PROPRANOLOL HYDROCHLORIDE,40,Not Control,3305797.1,3062857.2600000002,242939.84
0185,49884,AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN,10; 25; 160,Not Control,4817847.04,4728883.43,88963.61
0186,00378,CLONIDINE HYDROCHLORIDE,0.2,Not Control,1952763.6199999999,1849335.24,103428.38
0187,57664,OXYCODONE HYDROCHLORIDE,15,CII,7365238.21,7240801.74,124436.47
0188,68462,NAPROXEN,250,Not Control,20278688.6,19969864.46,308824.14
0189,68462,NAPROXEN,375,Not Control,79423717.78,78909691.47,514026.31
0190,66758,POTASSIUM CHLORIDE,1500,Not Control,99468525.17,90893256.98,8575268.19
0191,54092,MESALAMINE,500,Not Control,15997533.540000001,15263924.71,733608.83
0192,65862,FLUOXETINE HYDROCHLORIDE,10,Not Control,57522895.35,48674726.47,8848168.88
0193,65862,FLUOXETINE HYDROCHLORIDE,20,Not Control,4489467.72,3701197.31,788270.41
0194,65862,FLUOXETINE HYDROCHLORIDE,40,Not Control,5308232.69,5238720.57,69512.12
0195,68462,PRAVASTATIN SODIUM,10,Not Control,739044.8,732974.27,6070.53
0196,68462,PRAVASTATIN SODIUM,20,Not Control,3931663.35,3247011.81,684651.54
0197,68462,PRAVASTATIN SODIUM,40,Not Control,1891194.23,1858424.33,32769.9
0198,67877,AMLODIPINE BESYLATE,5,Not Control,1405586,1375100.77,30485.23
0199,65862,GABAPENTIN,300,Not Control,10989890.65,10681851.7,308038.95
0200,76204,ALBUTEROL SULFATE,2.5,Not Control,67973434.12,62577880.81,5395553.3100000005
0201,67253,PENICILLIN V POTASSIUM,500,Not Control,33251399.48,27090120.89,6161278.59
0202,16729,BUSPIRONE HYDROCHLORIDE,10,Not Control,93285586.66,90890205.67,2395380.99
0203,53746,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,5; 325,CII,11412351.24,11195606.4,216744.84
0204,43598,AMOXICILLIN; CLAVULANATE POTASSIUM,250; 62.5,Not Control,144064658.88,139297915.75,4766743.13
0205,66758,POTASSIUM CHLORIDE,750,Not Control,14825169.11,14391321.89,433847.22000000003
0206,51224,NALTREXONE HYDROCHLORIDE,50,Not Control,55118783.85,48875846.11,6242937.74
0207,68001,LISINOPRIL,5,Not Control,7493226.15,7362105.76,131120.39
0208,00378,FUROSEMIDE,20,Not Control,10067676.16,9567349.47,500326.69
0209,68382,ANASTROZOLE,1,Not Control,8341990.87,7774410.25,567580.62
0210,59310,BECLOMETHASONE DIPROPIONATE,80,Not Control,61139517.96,60289285.95,850232.01
0211,00245,MIDODRINE HYDROCHLORIDE,2.5,Not Control,88389060.27,83251659.19,5137401.08
0212,65162,PHENYTOIN SODIUM,100,Not Control,11800247.88,11555604.53,244643.35
0213,00378,CHLORTHALIDONE,50,Not Control,6312326.350000001,6223101.45,89224.9
0214,68001,LOVASTATIN,40,Not Control,950135.14,930923.27,19211.87
0215,68180,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,12.5; 50,Not Control,20218862.07,20030406.05,188456.02
0216,68001,TRIAMTERENE; HYDROCHLOROTHIAZIDE,37.5; 25,Not Control,6895978.96,6755104.66,140874.3
0217,69543,MAGNESIUM OXIDE,400,Not Control,9412081.65,9192451.24,219630.41
0218,13668,ARIPIPRAZOLE,10,Not Control,10766013.94,10533935.79,232078.15
0219,65862,CEFDINIR,250,Not Control,9922040.03,9753250.57,168789.46
0220,53746,METFORMIN HYDROCHLORIDE,1000,Not Control,10367457.53,10057309.87,310147.66
0221,00006,SITAGLIPTIN PHOSPHATE,25,Not Control,22100983.75,19459960.93,2641022.82
0222,49884,DOXEPIN HYDROCHLORIDE,150,Not Control,32335255.830000002,31401078.14,934177.69
0223,00054,QUETIAPINE FUMARATE,300,Not Control,13235947.61,12941003.63,294943.98
0224,69097,ALENDRONATE SODIUM,70,Not Control,8825829.66,8687238.07,138591.59
0225,16714,LOSARTAN POTASSIUM; HYDROCHLOROTHIAZIDE,100; 25,Not Control,4848785.61,4680708.17,168077.44
0226,16714,LOSARTAN POTASSIUM; HYDROCHLOROTHIAZIDE,50; 12.5,Not Control,3754561.13,3690435.23,64125.9
0227,61314,TIMOLOL MALEATE,5,Not Control,81243032.89,80578360.2,664672.69
0228,31722,ZONISAMIDE,100,Not Control,186815593.98,185276043.9,1539550.08
0229,68546,RASAGILINE MESYLATE,1,Not Control,4376560.66,4269331.15,107229.51
0230,47781,OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN,10; 325,CII,18870122.53,18048949.64,821172.89
0231,55111,PRAVASTATIN SODIUM,40,Not Control,273074126.23,270137212.36,2936913.87
0232,68462,OMEPRAZOLE,40,Not Control,940371.1799999999,914483.69,25887.49
0233,50383,DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE,20; 5,Not Control,1909552.96,1578836.69,330716.27
0234,16714,PENICILLIN V POTASSIUM,250,Not Control,5681851.01,5539197.16,142653.85
0235,68001,POTASSIUM CHLORIDE,20,Not Control,3118127.75,3040772.57,77355.18
0236,00054,MORPHINE SULFATE,30,CII,1170994.13,1092799.05,78195.08
0237,00071,ETHOSUXIMIDE,250,Not Control,2517258.41,2340881.34,176377.07
0238,64720,METHYLPHENIDATE HYDROCHLORIDE,10,CII,2286057.89,2203230.51,82827.38
0239,31722,AMLODIPINE BESYLATE,10,Not Control,1963033.17,1765518.2,197514.97
0240,00591,LORAZEPAM,0.5,CIV,18614668.71,17824064.15,790604.56
0241,00603,DIPHENHYDRAMINE HYDROCHLORIDE,25,Not Control,7328714.34,7117025.71,211688.63
0242,00591,LORAZEPAM,2,CIV,18653247.02,18379176.84,274070.18
0243,29300,AMLODIPINE BESYLATE,10,Not Control,36336862.7,33603366.08,2733496.6199999996
0244,00069,FESOTERODINE FUMARATE,8,Not Control,5735650.75,5611496.8100000005,124153.94
0245,52544,NA,NA,Not Control,3911613.2199999997,3763823.26,147789.96
0246,67877,QUETIAPINE FUMARATE,200,Not Control,3176362.21,2981347.38,195014.83
0247,68382,BENZONATATE,100,Not Control,100157151.76,96393685.22,3763466.54
0248,68001,MONTELUKAST SODIUM,10,Not Control,9081439.23,8902739,178700.23
0249,66530,FLUOROURACIL,50,Not Control,9375868.18,9313557.18,62311
0250,13551,CEFACLOR,250,Not Control,2923340.29,2882426.21,40914.08
0251,60505,TIZANIDINE HYDROCHLORIDE,2,Not Control,7120480.16,7000299.83,120180.33
0252,52536,LAMOTRIGINE,100,Not Control,6846161.35,6750216.21,95945.14
0253,66530,TRETINOIN,0.25,Not Control,12337420.58,12136523.14,200897.44
0254,68462,ROPINIROLE HYDROCHLORIDE,0.5,Not Control,15023465.47,14795299.44,228166.03
0255,43547,CARVEDILOL,6.25,Not Control,3882717.95,3805371.38,77346.57
0256,52544,PROGESTERONE,90,Not Control,3797247.03,3711804.83,85442.2
0257,45802,MOMETASONE FUROATE,1,Not Control,10109112.52,9748974.959999999,360137.56
0258,NA,NA,NA,NA,5961844.92,5464480.14,497364.78
0259,00004,MYCOPHENOLATE MOFETIL,250,Not Control,7029196.74,6808761.2700000005,220435.47
0260,62756,ZONISAMIDE,100,Not Control,16693313.89,16097968.22,595345.67
0261,62175,NIFEDIPINE,60,Not Control,4747524.19,4495442.6,252081.59
0262,62175,NIFEDIPINE,90,Not Control,3159419.87,2658884.59,500535.27999999997
0263,60505,BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,20; 12.5,Not Control,2293059.91,2252108.76,40951.15
0264,00093,FLUOCINONIDE,0.5,Not Control,8874911.32,8791332.62,83578.7
0265,43547,GABAPENTIN,100,Not Control,1540806.43,1253410.42,287396.01
0266,68382,PARICALCITOL,1,Not Control,2272393.65,2182244.2800000003,90149.37000000001
0267,43547,GABAPENTIN,400,Not Control,7177278.44,5934042.54,1243235.9
0268,13668,CARBAMAZEPINE,200,Not Control,10594755.95,10466483.97,128271.98
0269,63323,PROPOFOL,10,Not Control,23772146.18,15550778.59,8221367.59
0269,63323,PROPOFOL,10,Not Control,23772146.18,15550778.59,8221367.59
0269,63323,PROPOFOL,10,Not Control,23772146.18,15550778.59,8221367.59
0269,63323,PROPOFOL,10,Not Control,23772146.18,15550778.59,8221367.59
0270,49884,CYANOCOBALAMIN,500,Not Control,6726002.98,5681600.23,1044402.75
0270,49884,CYANOCOBALAMIN,500,Not Control,6726002.98,5681600.23,1044402.75
0271,00378,DIAZEPAM,2,CIV,7805159.63,7555343.41,249816.22
0272,64980,GLYCOPYRROLATE,1,Not Control,35284022.07,34057510.98,1226511.09
0273,37205,BACITRACIN; NEOMYCIN; POLYMYXIN B SULFATE,400; 3.5; 5000,Not Control,53323455.77,52857944.93,465510.84
0274,00574,POTASSIUM CHLORIDE,600,Not Control,11469700.57,10450797.66,1018902.91
0275,68462,DESMOPRESSIN ACETATE,0.1,Not Control,12553596.55,12304353.879999999,249242.66999999998
0276,62856,PERAMPANEL,6,CIII,5591421.73,4678600.61,912821.12
0277,00168,CLINDAMYCIN PHOSPHATE,20,Not Control,154273861.15,152748130.7,1525730.45
0278,31722,TOPIRAMATE,25,Not Control,10187797.2,9658349.12,529448.08
0279,31722,TOPIRAMATE,50,Not Control,2414605.43,2401649.47,12955.96
0280,55111,LEVOFLOXACIN,500,Not Control,13625838.4,11453716.76,2172121.64
0281,55111,LEVOFLOXACIN,750,Not Control,13820576.56,13612348.33,208228.22999999998
0282,43547,ESCITALOPRAM OXALATE,20,Not Control,15179866.27,14762081.08,417785.19
0283,00603,DOCUSATE SODIUM; SENNOSIDES,50; 8.6,Not Control,52454126.76,45534521.49,6919605.27
0284,00310,QUETIAPINE FUMARATE,400,Not Control,43475623.72,42436614.93,1039008.79
0285,51079,DIAZEPAM,5,CIV,808704.38,755342.81,53361.57
